kode_rs,nama_rs,alamat,telepon,kode_bps,kelas,kepemilikan,pemilik_raw,jenis_rs,lat,lng,is_valid_coord,needs_geocoding,sumber_data,coverage_periode
3510107,RS Umum Abdhi Famili,Jl. KH. Moh. Ikrom,0333-842219,3510,D,swasta,SWASTA/LAINNYA,RSU,-8.380837,114.173765,1,0,SIRS Kemenkes,2026-LIVE
3512038,RS Umum Mitra Sehat Kabupaten Situbondo,Dusun Barat,082333282112,3512,C,swasta,SWASTA/LAINNYA,RSU,-7.68893,114.013109,1,0,SIRS Kemenkes,2026-LIVE
3573261,RS Bhirawa Bhakti,Jl. Panglima Sudirman D9-A,0896-7171-3279,3573,D,tni_polri,TNI AD,RSU,-7.974164,112.638596,1,0,SIRS Kemenkes,2026-LIVE
3578793,RS PKU Muhammadiyah Surabaya,JALAN KH MAS MANSYUR NO.180-182,031-3522980,3578,D,swasta,Organisasi Islam,RSU,-7.229891,112.741193,1,0,SIRS Kemenkes,2026-LIVE
3522064,RS Ibu dan Anak Fatma,JL Lettu Suyitno No 2,0353 571576,3522,C,swasta,SWASTA/LAINNYA,RSIA,-7.143083,111.900286,1,0,SIRS Kemenkes,2026-LIVE
3525099,RS Umum Rachmi Dewi,Jl. Jawa No. 79 - 81,031-3957448,3525,D,swasta,SWASTA/LAINNYA,RSU,-7.1508,112.613115,1,0,SIRS Kemenkes,2026-LIVE
3578794,RS Ibu dan Anak Pusura Tegalsari,Jl. Tegalsari No.59,031-30008000,3578,C,swasta,SWASTA/LAINNYA,RSIA,-7.75632,112.186057,1,0,SIRS Kemenkes,2026-LIVE
3516039,RS Dian Husada,Jl. Raya Gemekan No. 77,0321-327771,3516,C,swasta,SWASTA/LAINNYA,RSU,-7.526282,112.342404,1,0,SIRS Kemenkes,2026-LIVE
3505041,RS Umum Al-Ittihad,"Jl. Raya Kediri Blitar, Dusun Kendal Doyong",082142056263,3505,D,swasta,SWASTA/LAINNYA,RSU,-8.059399,112.0529,1,0,SIRS Kemenkes,2026-LIVE
3510108,RS Al-Rohmah Banyuwangi,Jl. A. Yani No. 37,0333-397267,3510,D,swasta,SWASTA/LAINNYA,RSU,-8.441016,114.176981,1,0,SIRS Kemenkes,2026-LIVE
3529029,RS Umum Sumekar,Jl. Arya Wiraraja No. 99 Lingkar Timur,0328 6769930,3529,C,swasta,SWASTA/LAINNYA,RSU,-6.961412,113.677455,1,0,SIRS Kemenkes,2026-LIVE
3510109,RS Umum Rahayu Medika,Jl. Pekulo-Sukomukti No.09,(0333) 395518 /,3510,D,swasta,SWASTA/LAINNYA,RSU,-8.395549,114.252935,1,0,SIRS Kemenkes,2026-LIVE
3575016,RS Asih Abyakta,"Jl. Raya Surabaya Malang Km.42 No,88",(0343) 6741937,3575,D,swasta,SWASTA/LAINNYA,RSU,,,0,1,SIRS Kemenkes,2026-LIVE
