kode_rs,nama_rs,alamat,telepon,kode_bps,kelas,kepemilikan,pemilik_raw,jenis_rs,lat,lng,is_valid_coord,needs_geocoding,sumber_data,coverage_periode
3527025,RS Sukma Wijaya,H. Agus Salim No. 19,081216145351,3527,D,swasta,SWASTA/LAINNYA,RSU,-8.351186,113.442543,1,0,SIRS Kemenkes,2026-LIVE
3527026,RS Qona'ah,Jl. Diponegoro No. 7,081331166319,3527,D,swasta,Perusahaan,RSU,-7.208597,113.253199,1,0,SIRS Kemenkes,2026-LIVE
3528041,RS Ibu dan Anak Puri Bunda Madura,Jl. Kabupaten No. 99,6281214516999,3528,C,swasta,Perorangan,RSIA,-7.15805,113.474646,1,0,SIRS Kemenkes,2026-LIVE
3511024,RS Cahya Medika,Jalan Raya Pakisan - Bataan No. 24,0332-5557554,3511,D,swasta,SWASTA/LAINNYA,RSU,-7.925101,113.844333,1,0,SIRS Kemenkes,2026-LIVE
3578816,RS Ibu dan Anak Idaf Husada,"Jl. KO Wisata Bukit Mas II Blok RF no. 11, Blok F no. 10 - 11",(031)99423409,3578,C,swasta,SWASTA/LAINNYA,RSIA,-7.311987,112.665574,1,0,SIRS Kemenkes,2026-LIVE
3526046,RS Khusus Bedah Heart and Surgery,Jl. Soekarno-Hatta 34A,082245560714,3526,C,swasta,SWASTA/LAINNYA,RSK BEDAH,-7.049342,112.733636,1,0,SIRS Kemenkes,2026-LIVE
3514071,RS Hermina Pasuruan,Jl. Raya Pasuruan-Probolinggo KM 5,(0343) 4742523,3514,C,swasta,SWASTA/LAINNYA,RSU,-7.665664,112.934747,1,0,SIRS Kemenkes,2026-LIVE
3578814,Ciputra Hospital Surabaya,Jalan West Radial Road CF-6,03133393888,3578,B,swasta,SWASTA/LAINNYA,RSU,-7.28282,112.631772,1,0,SIRS Kemenkes,2026-LIVE
3577099,RS Hermina Madiun,Jl. Sido Makmur Ring Road Barat,(0351) 4108585,3577,C,swasta,Perusahaan,RSU,-7.619362,111.502754,1,0,SIRS Kemenkes,2026-LIVE
3578815,RS Umum Daerah Eka Candrarini,Jalan Medokan Asri Tengah No. 2,(031)8439473,3578,C,pemerintah,Pemkot,RSU,-7.327133,112.784158,1,0,SIRS Kemenkes,2026-LIVE
3507262,RS AU dr. Mohammad Moenir,"Jl. Rogonoto, RT.00 3/RW.005, Desa Tamanharjo, Kecamatan Singosari, Kabupaten Malang, Provinsi Jawa Timur 65153",081332911256,3507,D,tni_polri,TNI AU,RSU,-7.894207,112.677518,1,0,SIRS Kemenkes,2026-LIVE
3522076,RS Umum Daerah Temayang,Jl. Raya Temayang - Dander,03538940024,3522,D,pemerintah,Pemkab,RSU,-7.335503,111.913744,1,0,SIRS Kemenkes,2026-LIVE
3524076,RS Umum Daerah Ki Ageng Brondong,Jl Raya Daendles,08518862817,3524,D,pemerintah,Pemkab,RSU,-6.869866,112.272979,1,0,SIRS Kemenkes,2026-LIVE
3515159,RSAL dr SOEKANTYO JAHJA PUSPENERBAL,Jl. Raya Bandara Ir. H. Juanda,031-8669934,3515,C,tni_polri,TNI AL,RSU,-7.380814,112.763986,1,0,SIRS Kemenkes,2026-LIVE
3573278,BAMBANG SHITA HOSPITAL,JL. JOYO AGUNG REGENCY KAV AA 1-4 & 18,081217299081,3573,D,swasta,SWASTA/LAINNYA,RSU,-7.937599,112.581731,1,0,SIRS Kemenkes,2026-LIVE
3514072,RS Dika Husada,Jl. Raya Gempol-Bangil,03436005000,3514,D,swasta,SWASTA/LAINNYA,RSU,,,0,1,SIRS Kemenkes,2026-LIVE
3525116,RS Umum Daerah Gresik Sehati,Jl. Raya Slempit,,3525,C,pemerintah,Pemkab,RSU,-7.324042,112.523458,1,0,SIRS Kemenkes,2026-LIVE
3529042,Rumah Sakit Baghraf Health Care,"Jalan Jokotole Lingkar Barat, Desa Babbalan, Batuan, Kabupaten Sumenep, Jawa Timur, Kode Pos 69451",0328-2800000,3529,C,swasta,SWASTA/LAINNYA,RSU,,,0,1,SIRS Kemenkes,2026-LIVE
3573279,RUMAH SAKIT GIGI DAN MULUT UNIVERSITAS BRAWIJAYA,JL. VETERAN NO 16A,08123302041,3573,C,pemerintah,Kementerian Lain,RSK GM,-7.94849,112.613894,1,0,SIRS Kemenkes,2026-LIVE
3516086,Rumah Sakit Adhyaksa Jawa Timur,Jalan Jatirejo Jabung Nomer 160,03215211788,3516,C,pemerintah,Kementerian Lain,RSU,-7.584698,112.416323,1,0,SIRS Kemenkes,2026-LIVE
3578817,Rumah Sakit Waron Hospital,"Jl. Kaliwaron No. 106, 108, 110, 112, 114, Kel. Mojo, Kec. Gubeng, Kota Surabaya, Prov. Jawa Timur, 60285",081286689449,3578,C,swasta,SWASTA/LAINNYA,RSU,-7.263762,112.771232,1,0,SIRS Kemenkes,2026-LIVE
3573280,Melati Hospital Satsuitubun,Jl. Satsui Tubun No. 19 - 20,081223000079,3573,C,swasta,SWASTA/LAINNYA,RSU,-8.021665,112.622949,1,0,SIRS Kemenkes,2026-LIVE
3515160,RS Mitra Keluarga Sidoarjo,Ds Pagerwojo,03129717900,3515,C,swasta,SWASTA/LAINNYA,RSU,,,0,1,SIRS Kemenkes,2026-LIVE
3578818,RS Bawean Orthopedi dan Rehabilitasi Center,Jalan Bawean Nomor 40 Surabaya,081227207340,3578,D,swasta,SWASTA/LAINNYA,RSK Orthopedi,,,0,1,SIRS Kemenkes,2026-LIVE
3528042,Rumah Sakit Bhayangkara Pamekasan,Jl. Raya Nyalaran no 224,03246650016,3528,D,tni_polri,POLRI,RSU,,,0,1,SIRS Kemenkes,2026-LIVE
3517112,RSIA ANNISA MEDIKA HUSADA,"Jl. Raya Gambiran NO. 166-168, Mojoagung",082123600062,3517,C,swasta,SWASTA/LAINNYA,RSIA,,,0,1,SIRS Kemenkes,2026-LIVE
3517113,RS BHAYANGKARA TK IV JOMBANG,Jl. KH. Romli Tamim,087711882042,3517,D,tni_polri,POLRI,RSU,-7.553026,112.247041,1,0,SIRS Kemenkes,2026-LIVE
3514073,RSNU PASURUAN,Jl. Raya Kejayan No.2,08179628531,3514,D,swasta,Organisasi Islam,RSU,-7.69176,112.88081,1,0,SIRS Kemenkes,2026-LIVE
